0,11	4659.0
0,12	6300.0
0,16	4109.0
0,21	9838.5
0,26	4906.0
0,8	5000.0
1,12	4329.0
1,17	5859.125
1,18	3532.0
1,20	6493.0
1,21	10129.0
1,6	3361.0
10,10	5630.3
10,11	6033.2
10,12	4792.5
10,13	5467.66666667
10,14	5330.90909091
10,15	5156.0
10,16	6022.0
10,17	6993.5
10,18	6483.42857143
10,19	5445.38461538
10,20	4545.25
10,21	6058.0
10,23	7259.0
10,24	7772.66666667
10,26	3482.5
10,3	3450.5
10,4	3585.0
10,5	4443.0
10,6	6477.5
10,7	5362.2
10,8	5568.75
10,9	6039.85714286
11,0	4658.0
11,10	5346.0
11,11	6418.5
11,12	5250.91666667
11,13	5437.8
11,14	5780.36363636
11,15	5830.66666667
11,16	5894.25
11,17	5748.0
11,18	5371.16666667
11,19	5343.93939394
11,20	5240.5
11,21	5155.33333333
11,22	7153.5
11,23	4500.0
11,24	4800.3125
11,25	5444.0
11,26	3991.2
11,3	3034.0
11,4	4789.0
11,5	4375.0
11,6	5535.0
11,7	4434.125
11,8	3821.5
12,10	5683.73913043
12,11	6169.29166667
12,12	5975.12
12,13	6309.13513514
12,14	6253.375
12,15	5848.42857143
12,16	6756.07142857
12,17	5566.89473684
12,18	6073.05263158
12,19	6290.8
12,20	5053.0
12,21	5804.0
12,22	6048.8
12,23	5711.5
12,24	4998.5
12,25	4622.0
12,26	4681.33333333
12,5	5237.0
12,6	5452.33333333
12,7	6244.6
12,8	6062.0
12,9	7911.90909091
13,10	6247.14285714
13,11	6134.27027027
13,12	5927.27777778
13,13	6281.07692308
13,14	10361.5882353
13,15	6249.0
13,16	5797.06060606
13,17	5751.36
13,18	7023.66666667
13,19	5382.25
13,20	5312.17647059
13,25	4149.5
13,3	3929.0
13,5	3568.66666667
13,6	5395.33333333
13,7	4797.5
13,8	5648.77777778
13,9	7694.75
14,10	10084.5
14,11	6328.16666667
14,12	6345.38888889
14,13	6355.27027027
14,14	6926.09677419
14,15	6276.82352941
14,16	5711.73913043
14,17	5726.46666667
14,18	6389.0
14,19	5300.44444444
14,2	6061.0
14,20	5079.46153846
14,21	4949.5
14,22	4801.0
14,23	6638.125
14,24	5161.5
14,4	3703.0
14,6	6329.33333333
14,7	8037.0
14,8	7045.55
14,9	7401.80952381
15,10	8150.375
15,11	7181.82926829
15,12	6941.83333333
15,13	6526.16666667
